lga_code16,m_agff_h_0,m_agff_h_1_15,m_agff_h_16_24,m_agff_h_25_34,m_agff_h_35_39,m_agff_h_40,m_agff_h_41_48,m_agff_h_49_more,m_agff_h_ns,m_agff_h_tot,m_min_h_0,m_min_h_1_15,m_min_h_16_24,m_min_h_25_34,m_min_h_35_39,m_min_h_40,m_min_h_41_48,m_min_h_49_more,m_min_h_ns,m_min_h_tot,m_mnf_h_0,m_mnf_h_1_15,m_mnf_h_16_24,m_mnf_h_25_34,m_mnf_h_35_39,m_mnf_h_40,m_mnf_h_41_48,m_mnf_h_49_more,m_mnf_h_ns,m_mnf_h_tot,m_egwws_h_0,m_egwws_h_1_15,m_egwws_h_16_24,m_egwws_h_25_34,m_egwws_h_35_39,m_egwws_h_40,m_egwws_h_41_48,m_egwws_h_49_more,m_egwws_h_ns,m_egwws_h_tot,m_const_h_0,m_const_h_1_15,m_const_h_16_24,m_const_h_25_34,m_const_h_35_39,m_const_h_40,m_const_h_41_48,m_const_h_49_more,m_const_h_ns,m_const_h_tot,m_wst_h_0,m_wst_h_1_15,m_wst_h_16_24,m_wst_h_25_34,m_wst_h_35_39,m_wst_h_40,m_wst_h_41_48,m_wst_h_49_more,m_wst_h_ns,m_wst_h_tot,m_rett_h_0,m_rett_h_1_15,m_rett_h_16_24,m_rett_h_25_34,m_rett_h_35_39,m_rett_h_40,m_rett_h_41_48,m_rett_h_49_more,m_rett_h_ns,m_rett_h_tot,m_acfd_h_0,m_acfd_h_1_15,m_acfd_h_16_24,m_acfd_h_25_34,m_acfd_h_35_39,m_acfd_h_40,m_acfd_h_41_48,m_acfd_h_49_more,m_acfd_h_ns,m_acfd_h_tot,m_tpw_h_0,m_tpw_h_1_15,m_tpw_h_16_24,m_tpw_h_25_34,m_tpw_h_35_39,m_tpw_h_40,m_tpw_h_41_48,m_tpw_h_49_more,m_tpw_h_ns,m_tpw_h_tot,m_imt_h_0,m_imt_h_1_15,m_imt_h_16_24,m_imt_h_25_34,m_imt_h_35_39,m_imt_h_40,m_imt_h_41_48,m_imt_h_49_more,m_imt_h_ns,m_imt_h_tot,m_finins_h_0,m_finins_h_1_15,m_finins_h_16_24,m_finins_h_25_34,m_finins_h_35_39,m_finins_h_40,m_finins_h_41_48,m_finins_h_49_more,m_finins_h_ns,m_finins_h_tot,m_rhre_h_0,m_rhre_h_1_15,m_rhre_h_16_24,m_rhre_h_25_34,m_rhre_h_35_39,m_rhre_h_40,m_rhre_h_41_48,m_rhre_h_49_more,m_rhre_h_ns,m_rhre_h_tot,m_prosts_h_0,m_prosts_h_1_15,m_prosts_h_16_24,m_prosts_h_25_34,m_prosts_h_35_39,m_prosts_h_40,m_prosts_h_41_48,m_prosts_h_49_more,m_prosts_h_ns,m_prosts_h_tot,m_adsup_h_0,m_adsup_h_1_15,m_adsup_h_16_24,m_adsup_h_25_34,m_adsup_h_35_39,m_adsup_h_40,m_adsup_h_41_48,m_adsup_h_49_more,m_adsup_h_ns,m_adsup_h_tot,m_pubas_h_0,m_pubas_h_1_15,m_pubas_h_16_24,m_pubas_h_25_34,m_pubas_h_35_39,m_pubas_h_40,m_pubas_h_41_48,m_pubas_h_49_more,m_pubas_h_ns,m_pubas_h_tot,m_edtrn_h_0,m_edtrn_h_1_15,m_edtrn_h_16_24,m_edtrn_h_25_34,m_edtrn_h_35_39,m_edtrn_h_40,m_edtrn_h_41_48,m_edtrn_h_49_more,m_edtrn_h_ns,m_edtrn_h_tot,m_hlthc_sa_h_0,m_hlthc_sa_h_1_15,m_hlthc_sa_h_16_24,m_hlthc_sa_h_25_34,m_hlthc_sa_h_35_39,m_hlthc_sa_h_40,m_hlthc_sa_h_41_48,m_hlthc_sa_h_49_more,m_hlthc_sa_h_ns,m_hlthc_sa_h_tot,m_artsr_h_0,m_artsr_h_1_15,m_artsr_h_16_24,m_artsr_h_25_34,m_artsr_h_35_39,m_artsr_h_40,m_artsr_h_41_48,m_artsr_h_49_more,m_artsr_h_ns,m_artsr_h_tot,m_othsvs_h_0,m_othsvs_h_1_15,m_othsvs_h_16_24,m_othsvs_h_25_34,m_othsvs_h_35_39,m_othsvs_h_40,m_othsvs_h_41_48,m_othsvs_h_49_more,m_othsvs_h_ns,m_othsvs_h_tot,m_idns_h_0,m_idns_h_1_15,m_idns_h_16_24,m_idns_h_25_34,m_idns_h_35_39,m_idns_h_40,m_idns_h_41_48,m_idns_h_49_more,m_idns_h_ns,m_idns_h_tot,lga_name16
10050,4,11,4,16,16,34,12,44,3,153,0,0,0,0,3,5,0,9,0,15,37,26,27,63,335,331,306,235,12,1368,9,3,0,10,60,46,39,36,0,195,30,40,52,66,260,472,249,325,11,1500,3,20,14,12,80,102,96,132,3,465,35,200,101,120,228,175,131,172,13,1185,20,261,84,89,115,91,89,123,16,888,22,44,42,60,111,118,94,257,15,776,0,13,3,11,33,45,27,37,0,165,4,7,9,11,32,65,43,52,0,216,8,14,7,3,19,24,14,52,3,154,7,26,23,45,105,121,78,138,11,552,11,34,19,32,60,49,25,46,4,287,33,32,26,76,314,162,123,82,8,857,15,51,47,51,130,103,67,133,10,605,24,45,69,127,212,150,61,115,8,809,3,19,12,5,14,21,10,11,0,103,11,35,30,29,124,130,81,116,6,562,20,41,14,26,114,118,42,88,118,582,Albury (C)
10130,24,35,65,45,158,131,83,356,18,907,0,0,0,0,6,5,9,19,0,43,3,5,5,16,45,61,27,42,3,213,0,0,4,7,23,29,13,8,0,87,17,22,10,30,97,169,81,126,3,554,3,15,5,4,24,22,28,58,3,151,23,134,75,73,137,74,63,81,12,656,17,131,55,49,54,40,35,80,11,468,6,26,26,26,36,28,27,54,5,232,3,10,0,4,24,6,6,9,0,68,3,7,0,9,24,23,17,32,0,112,0,5,5,10,12,10,5,22,0,66,5,29,18,26,79,63,35,73,3,337,3,29,27,20,25,19,22,14,3,160,20,22,18,19,158,61,62,49,4,420,20,100,52,60,275,170,90,192,19,964,17,40,47,84,94,83,28,67,3,450,3,8,4,3,13,11,9,7,3,58,8,16,7,12,57,41,35,47,5,228,4,19,7,13,32,32,22,32,45,217,Armidale Regional (A)
10250,15,57,46,65,98,91,40,130,4,548,9,0,0,0,0,16,9,17,0,58,9,19,26,36,135,92,54,105,8,480,3,3,3,8,37,28,12,11,4,103,20,43,63,92,184,322,121,184,10,1043,4,3,7,14,54,28,17,34,3,176,17,140,79,104,164,103,74,126,4,819,7,130,70,73,91,50,30,94,8,561,12,35,28,43,63,44,42,90,0,357,3,3,3,3,14,19,6,20,0,72,6,12,13,18,15,31,9,26,0,130,3,19,8,6,19,19,17,41,3,140,3,33,35,36,58,99,37,89,4,408,3,22,27,21,39,29,9,22,6,176,19,22,25,25,159,72,74,48,3,458,11,44,42,59,85,84,41,78,3,448,14,52,75,119,121,98,36,56,12,582,6,21,5,3,21,29,12,10,0,103,7,17,14,24,58,57,30,58,6,272,13,37,21,30,56,51,18,42,74,332,Ballina (A)
10300,3,4,6,8,15,31,14,82,3,160,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,5,0,19,0,0,0,0,10,3,0,0,0,16,0,3,3,3,3,4,4,8,0,33,0,0,0,0,0,3,0,0,0,8,0,3,3,7,0,3,3,12,0,28,0,0,4,3,8,0,0,14,0,30,0,3,4,0,3,3,3,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,3,0,3,3,28,0,0,0,3,3,4,3,0,0,16,0,0,3,3,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,0,0,4,7,3,4,3,0,20,0,0,0,0,3,3,0,3,10,28,Balranald (A)
10470,12,27,20,33,36,90,44,174,3,440,3,3,0,3,8,11,4,12,0,47,21,26,34,27,216,248,140,218,0,929,4,0,3,11,38,48,15,24,0,140,20,26,30,56,200,323,150,313,21,1139,3,22,6,7,44,63,21,63,0,221,22,142,62,71,178,104,75,132,9,798,11,159,50,54,83,58,40,74,6,543,5,35,27,37,67,65,55,151,5,451,7,21,5,5,52,20,18,14,3,136,0,3,0,4,12,24,24,28,3,90,3,7,8,4,22,28,20,30,0,112,9,21,15,18,79,72,29,83,7,331,10,12,34,17,45,37,25,25,3,212,33,31,26,42,316,231,100,76,4,858,31,62,37,49,161,110,65,126,7,638,23,45,40,54,105,101,30,53,3,455,4,31,9,10,23,11,7,15,0,107,6,41,15,21,87,77,46,97,3,386,20,26,16,31,63,58,20,55,80,379,Bathurst Regional (A)
10550,22,58,37,60,70,78,48,236,6,618,0,0,0,0,0,0,4,7,0,10,24,24,39,36,181,164,120,108,9,704,0,0,0,0,30,33,14,14,0,97,15,38,46,50,107,207,87,118,3,678,0,11,15,14,41,28,21,23,0,160,18,92,65,72,120,53,54,99,6,585,28,122,51,85,87,55,32,97,18,587,17,25,24,23,24,34,37,75,4,269,0,8,8,3,13,12,6,8,0,53,0,4,4,3,5,7,4,12,0,46,4,11,5,8,6,9,6,21,3,63,7,35,20,29,18,41,31,48,3,219,11,37,15,18,16,18,12,14,3,137,20,10,11,19,161,53,46,26,0,344,12,35,21,27,34,53,23,36,0,239,23,31,47,66,81,61,31,50,0,389,9,12,6,11,22,27,6,14,0,106,4,18,14,16,50,56,30,53,3,238,9,17,19,17,35,39,18,41,67,266,Bega Valley (A)
10600,10,24,11,23,9,29,13,96,10,230,0,0,0,0,3,0,0,5,0,9,10,20,19,24,55,64,24,20,3,238,0,5,0,4,3,3,0,4,0,21,16,27,16,27,36,50,20,72,8,264,0,0,3,4,6,7,3,9,0,32,3,31,8,24,27,8,12,31,3,138,0,34,19,25,18,8,7,29,0,145,0,7,10,9,11,8,0,15,3,75,0,3,0,0,0,8,0,0,0,15,0,0,4,3,0,0,0,6,0,17,0,0,3,0,4,3,3,7,0,25,3,7,14,8,5,14,0,20,0,76,3,15,6,3,4,7,0,3,0,45,3,4,0,10,46,15,27,3,4,112,3,16,11,11,8,10,11,19,0,84,8,3,13,25,22,12,9,20,0,113,5,3,3,6,5,3,0,3,0,28,0,5,5,8,18,10,10,12,0,74,5,10,4,8,15,8,3,15,10,80,Bellingen (A)
10650,19,26,6,27,19,71,32,223,11,433,3,0,0,0,0,0,0,0,0,3,3,0,3,3,23,18,8,26,0,82,0,0,3,4,11,5,3,3,0,27,9,0,7,4,16,43,12,29,0,120,3,6,3,3,0,19,9,18,3,71,3,16,4,10,11,10,6,19,0,77,4,18,13,8,23,14,6,26,3,113,3,14,10,9,13,18,12,47,3,137,0,0,0,0,3,0,0,0,0,6,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,8,0,18,0,3,0,0,5,0,0,7,0,19,5,5,0,0,30,11,10,7,0,64,0,5,4,3,4,6,3,7,0,35,0,4,3,3,11,7,7,9,0,44,0,0,0,6,5,3,3,0,0,14,0,8,4,3,9,6,8,26,0,62,5,3,0,0,14,14,9,5,16,71,Berrigan (A)
10750,5,23,15,18,58,25,28,62,7,233,0,0,0,4,23,35,14,44,0,123,120,196,243,249,2167,1888,1068,1599,74,7609,34,26,38,41,452,590,234,418,10,1849,121,265,333,410,1210,2226,1040,2171,135,7909,78,104,124,145,1287,1224,653,912,43,4576,171,827,604,594,1425,1240,590,945,93,6491,80,802,451,258,299,270,113,219,51,2537,173,284,395,597,1723,2004,1068,2500,157,8912,11,56,26,28,152,118,53,99,8,560,13,10,20,39,118,144,72,102,4,530,8,33,32,29,114,180,111,218,10,729,27,140,120,92,313,517,176,425,14,1821,31,165,211,226,395,311,120,173,25,1652,105,67,100,125,811,495,410,315,19,2451,45,285,175,211,484,484,254,387,16,2342,58,147,206,235,582,517,203,362,29,2332,9,81,55,35,96,79,41,74,4,481,45,141,144,151,548,670,296,577,35,2610,72,216,227,236,893,978,356,683,760,4421,Blacktown (C)
10800,18,32,21,27,28,95,35,271,17,542,11,0,0,3,12,20,46,161,8,266,0,6,3,10,8,16,3,31,0,71,0,0,0,0,0,4,0,0,0,9,3,0,3,4,16,20,14,25,0,86,0,0,3,4,0,7,0,10,0,22,0,13,4,6,12,17,3,14,0,68,0,6,4,3,4,3,0,13,3,37,3,12,8,5,12,14,5,16,0,72,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,0,3,0,0,4,0,8,4,0,23,0,3,0,0,3,0,0,0,0,5,7,0,0,6,32,13,11,6,0,78,0,5,3,0,11,4,4,3,0,33,0,0,0,3,0,0,3,5,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,5,16,13,7,16,0,59,3,0,0,7,5,8,3,12,23,74,Bland (A)
